Date,Source,Text Data,Associated Demand Change 
2025-08-01,News Headline,Major port strike anticipated in Asia; delays expected for electronics and apparel shipments.,High Volatility
2025-08-05,Customer Note,Customer called to increase their order by 30% due to strong projected holiday sales.,High Increase
2025-08-06,Social Media,"""My shipment is already two days late. Very frustrating service.""",Moderate Decrease
2025-08-08,Sales Call Note,Client is exploring new local suppliers after current international rates became too high. Potential long-term demand shift.,Moderate Decrease
2025-08-15,Economic News,Government announces infrastructure spending bill focused on construction materials.,Moderate Increase
2025-08-16,Supplier E-mail,"""We are experiencing a temporary closure at our primary manufacturing plant due to unexpected maintenance. All shipments will be delayed by 7−10 days.""",High Volatility
2025-08-18,News Headline,"""A new competitor has just launched a lower-priced alternative to our flagship product. Analysts predict a 15% market share shift.""",High Decrease
2025-08-18,E-Commerce Review,"""The new 'Product` is fantastic, The battery life is double the old version. Already convinced three friends to buy one.""",High Increase
2025-08-20,Analyst Report Snippet,"""We maintain a 'Strong Buy' rating for the sector, noting that disposable income trends are strong heading into the next two quarters.""",Moderate Increase
2025-10-01,Diplomatic Report,"""Trade talks between Country A and Country B have broken down; new tariffs on goods exported from Country B are expected next month.""",High Increase
2025-09-05,Supplier E-mail,"""We are experiencing a high demand in production which has affected the capacity of the warehouse causing delays in delivery""",Moderate Decrease
2025-09-06,News Headline,"""A rise in fuel prices has caused a spike in operational costs, causing companies to increase freight costs for customers""",Moderate Decrease
2025-09-08,Customer Note,Customer called to complain about the delay in the delivery of his/her goods ,High  Decrease
2025-09-15,News Headline,"""Government announces a shortage in the procurement of raw materials, and delays in production are to be expected""",High Volatility
2025-09-16,Social Media,"""One of the workers has expressed how they are subjected to long working hours without adequate remuneration""",High Decrease
2025-09-18,News Headline,"Major Strike anticipated company X , due to unresolved labour issues",High Decrease
2025-09-18,Diplomatic Report,"""The President of Botswana and  South Africa have agreed to extend their partnership in trade for 10 more years""",High Increase
2025-09-20,E-Commerce Review,"""They have a lot of products to choose from for your satisfaction""",Moderate Increase
2025-9,News Headline,"""Taxi strike in the CBD has stopped many companies from operating due to the shoratage of staff members""",Moderate Decrease
2025-09-26,Social Media,"""They offer the best service all the time""",High Increase
2025-09-27,Economic News,"""The country is anticipated to undergo a recession phase, which is predicted to decrease production by 15%""",High Decrease
2025-9,E-Commerce Review,"""The competition is creating a much better product than  the company""",High Decrease
2025-10-01,Diplomatic Report,"""South Africa has introduced better trading tarrifs for neighbouring countries""",High Increase
2025-10-3,Customer Note,Client is proposing that you increase his demand by 10%,Moderate Increase
2025-10-04,Customer Note,Client has recommended the company to other companies,High Increase
2025-10-05,Economic News,"""Moodys places South Africa in ""Junk Status""",HIgh Volatility
2025-10-06,Sales Call Note,"The client is proposing a 5-year contract with the company, after the current international rates decreased by 25%. Potential long-term demand shift.",High Increase
2025-10-07,Social Media,"""The delivery was fast and efficient""",Moderate Increase
2025-10-08,Diplomatic Report,"""New trade regulations have been implemented allowing companies to bypass some trade barries""",Moderate Increase
